塔名,source_status,现代省份,现代城市,现代区县,辽代五京/道,辽代州府,辽代县,经度,纬度,LPSL编码,建造时期,KG建造时期,始建年份,塔类型,平面形状,层数,建筑测量高度,保护级别,修建目的,环境类型,空间隶属,所属寺庙,描述,has_莲台,has_束腰,has_仿木作,has_铺作,has_券门,has_壶门,has_飞天,has_华盖,has_假窗,has_柱子,has_叠涩,has_斗拱,has_佛像,has_力士,has_龙柱,has_经幢柱,has_素面,has_地宫,has_平座,has_塔刹,has_修缮
广济寺塔,observed_structured_record,辽宁省,锦州市,古塔区,中京道,锦州,,121.119825,41.109108,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e9-e6/e9-e9/e18-e8-e18)-r-f-g[num=5](e1-g8)-k-h-d[type=d1]-g[num=5](e1-g8)-r-h-g[num=4](e1-g12)-i,,辽道宗清宁三年,1057,密檐塔,8角形,13,59.3,2001年被国务院公布为第五批全国重点文物保护单位,寺院标志,现代城镇,寺庙主塔,广济寺,广济寺塔（又名锦州古塔）为八角实心十三层密檐砖塔...1996年修缮。,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True
宝塔寺塔,observed_structured_record,辽宁省,朝阳市,朝阳县,东京道,懿州辖,,123.605947,42.6631,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e16-e6/e14-e9-e14/e18-e8-e18)-f-r-h-g[num=3](e1-g8)-d[type=d1]-g[num=2](e1-g12)-r-h-f-i,天赞,辽太宗天赞年间,1090s,密檐塔,8角形,13,25.64,1988年被定为省级文物保护单位,寺院标志,田园,寺庙主塔,宝塔寺,宝塔寺塔为八角实心十三层密檐砖塔...于2001年和2010年经过两次保护性修复。,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True
无垢净光舍利塔,observed_structured_record,辽宁省,沈阳市,皇姑区,东京道,沈州,,123.374292,41.832656,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e9-e6/e18-e8-e18)-f-b-h-i,,辽兴宗重熙十三年,1044,密檐塔,8角形,13,31.59,2013年第七批全国重点文物保护单位,供奉舍利,一般旷野,单体,无详载,无垢净光舍利塔（又名塔湾舍利塔）为八角空心十三层密檐砖塔...1985年曾对其进行过大规模的保护性修复。,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True
广胜寺塔,observed_structured_record,辽宁省,朝阳市,朝阳县,中京道,宜州,,121.119825,41.109108,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-d[type=d1]-e[col=e1](e6-e14-e6/e9-e9-e9/e10-e8-e10)-h-f-j-g[num=1](e1-g9)-j-j-g[num=3](e1-g10)-h-i,,辽圣宗开泰九年,1057后,密檐塔,8角形,13,44.45,2013年第七批全国重点文物保护单位,寺院标志,一般旷野,寺庙主塔,广胜寺,广胜寺塔（又名嘉福寺塔）为八角实心十三层密檐砖塔...于2013年曾进行修缮。,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True
农安塔,observed_structured_record,吉林省,长春市,农安县,东京道,黄龙府,,,,a-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e16/e8)(e16/e8)-i,辽圣宗,辽圣宗时期,983-1031,密檐塔,8角形,13,44.0,全国重点文物保护单位,风水镇物,田园,古城地标,崇庆寺(已毁),农安塔位于吉林省长春市农安县（辽代黄龙府）。该塔为军事重镇主寺崇庆寺（已毁）之地标，曾在近代受损严重，塔身几乎被掏空，后经抢救性重修。,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True
照塔,observed_structured_record,河北省,涿州市,刁窝乡,南京道,良乡,,116.089872,39.493903,r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-b-m-d[type=d1]-e[col=e1](e8)(e11)-f-h-b-g[num=2](e1-g12)-b-h-i,辽,辽代,辽代,密檐塔,8角形,6,18.83,2013年被列为第七批全国重点文物保护单位,寺院标志,田园,,云居寺,永安寺塔（又名塔儿照塔）为八角残存六层空心密檐式砖塔...每面转角处镶经幢塔一座。,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
云居寺老虎塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-b-h-r-b-h-r-b-h-r-b-h-b-g[num=1](e1-g12)-r-b-e[col=e1](e8)(e11)-f-h-r-b-h-b-i,辽,辽代,辽代,密檐塔,4角形,7,5.0,北京市文物保护单位,高僧墓塔,一般旷野,,云居寺,云居寺老虎塔为四角七层密檐式石塔，位于北京市房山区云居寺附近山中。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
玉皇塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e1](e8)-r-b-h-b-i,辽,辽代中期,1050-1100,楼阁式塔,8角形,3,15.0,北京市文物保护单位,供奉佛像,一般旷野,单体,玉皇庙(原为佛寺),玉皇塔位于北京市房山区山中，原属佛寺，现为玉皇庙。塔基须弥座束腰较短，首层设假门，以上各层有仿木斗栱与平座。,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
刘师民塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-m-d[type=d1]-h-b-m-d[type=d1]-h-b-m-d[type=d1]-e[col=e1](e8)(e11)-i,辽,辽代,1100s,密檐塔,6角形,3,6.0,区级文物保护单位,僧人墓塔,一般旷野,,无(墓塔),刘师民塔为六角三层密檐式砖塔，位于北京市房山区良乡，为僧人刘师民之墓塔。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
鞭塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-r-b-h-r-b-h-r-b-h-r-b-h-r-b-h-b-m-d[type=d1]-e[col=e1](e8)(e11)-i,辽,辽代,辽代,密檐塔,6角形,7,8.0,区级文物保护单位,寺院标志,一般旷野,,云居寺,鞭塔为六角七层密檐式砖塔，位于北京市房山区良乡云居寺附近。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
天开塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-c-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-c-d[type=d1]-e[col=e1](e8-e10)(e11)-d[type=d1]-g[num=2](e1-g9)-h-g[num=2](e1-g12)-h-i,辽,辽代,1050s,密檐塔,8角形,3,15.0,区级文物保护单位,寺院供奉,一般旷野,,天开寺,天开塔为八角三层密檐式砖塔，位于北京市房山区良乡天开寺。2000年代考古发掘出土了舍利。,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
云居寺南塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,115.767278,39.608819,a-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-b-d[type=d1]-m-c-m-d[type=d1]-e[col=e1](e8)(e11)-f-k-k-d[type=d1]-k-h-b-g[num=2](e1-g12)-i,,近代重修,1117,密檐塔,8角形,11,30.0,北京市房山区文物保护单位,寺院标志,田园,,云居寺,云居寺南塔为八角十一层密檐砖塔，整塔为近代重修。,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False
忏悔正慧大师灵塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-e()-f-h-b-h-b-h-f-i,辽,辽代,辽代,密檐塔,4角形,5,4.0,文物保护单位,高僧墓塔,田园,,云居寺,忏悔正慧大师灵塔为四角五层密檐式石塔，位于云居寺墓地。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
琬公塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-h-c-b-h-c-e[col=e1]-b-h-f-h-b-h-f-i,辽,辽代,辽代,密檐塔,8角形,3,8.0,文物保护单位,寺院标志,一般旷野,,云居寺,琬公塔为八角三层密檐式砖塔，位于云居寺内，为纪念通理大师（琬公）。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
忏悔上人坟塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-b-h-b-h-b-e[col=e1](e8)(e11)-b-h-b-h-b-i,辽,辽代,辽代,经幢式,8角形,2,3.0,,僧人墓塔,田园,,云居寺,忏悔上人坟塔为八角二层经幢式石塔，位于云居寺墓地。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
上方山亭阁式塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,r-b-d[type=d1]-e[col=e1](e8)(e11)-h-b-g[num=1](g7-g9)-b-i,辽,辽代,辽代,亭阁式,4角形,1,3.5,,供奉佛像,一般旷野,,兜率寺,上方山亭阁式塔为四角单层亭阁式石塔，位于良乡上方山兜率寺。,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
昊天塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,116.147972,39.733575,a-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-m-d[type=d1]-e[col=e1](e8)(e11)-b-d[type=d1]-g[num=4](g7-g10)-b-g[num=4](g7-g10)-i,辽,辽代,1110s,楼阁式塔,8角形,5,45.9,2013年被列为全国重点文物保护单位,风水镇物,田园,地标,昊天观/多宝佛塔,昊天塔（又名房山良乡多宝佛塔）...位于北京市房山区良乡城东北面的东关村燎石岗上（昊天公园内）。,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False
天宁寺塔,observed_structured_record,北京市,北京市,西城区,南京道,南京(燕京),,116.339722,39.893611,a-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-h-c-d[type=d1]-e[col=e2](e10-e10-e10/e18-e8-e18)(e6-e6/e18-e8-e18)-f-k-k-d[type=d1]-g[num=5](g6-g9)-h-g[num=6](g6-g9)-i,,辽道宗大康九年,1119,密檐塔,8角形,13,55.94,1988年被列为第三批全国重点文物保护单位,寺院标志,水域周边,寺庙主塔,天宁寺,天宁寺塔...位于北京西城区广安门外护城河西岸北滨河路西侧天宁寺内。,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,True,True
法均和尚墓塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-m-g[num=3](e1-g9)-b-b-d[type=d1]-e[col=e1](e12/e8)(e12/e11)-f-k-k-d[type=d1]-h-g[num=2](e1-g9)-b-b-g[num=2](e1-g9)-i,辽,辽代,1060s,密檐塔,8角形,7,10.0,文物保护单位,高僧墓葬,田园,,云居寺,法均和尚墓塔为八角七层密檐式砖塔，位于云居寺墓地。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
法均和尚衣钵塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-m-d[type=d1]-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-f-b-b-h-b-i,辽,辽代,1060s,密檐塔,8角形,5,5.0,文物保护单位,高僧墓葬,田园,,云居寺,法均和尚衣钵塔为八角五层密檐式石塔，位于云居寺墓地。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
天成寺塔,observed_structured_record,天津市,天津市,蓟州区,南京道,易州,涞水县,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-f-g[num=1](3)-h-i,辽,辽代,1100s,密檐塔,8角形,13,18.0,省级文物保护单位,寺院标志,水域周边,寺庙主塔,天成寺,天成寺塔为八角十三层密檐式砖塔，位于河北省涞水县天成寺，属隐逸寺院主塔。,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
圣塔院塔,observed_structured_record,河北省,保定市,易县,南京道,易州,,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-f-h-k-k-d[type=d1]-g[num=2](e1-g12)-b-h-b-h-i,辽,辽末,1110s,密檐塔,8角形,13,22.0,州级(历史等级),寺院标志,水域周边,寺庙主塔,圣塔院,圣塔院塔为八角十三层密檐式砖塔，位于河北省易县圣塔院。,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
天宫寺塔,observed_structured_record,河北省,唐山市,丰润区,南京道,平州,,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e2](e8)-f-h-k-k-h-d[type=d1]-g[num=2](e1-g12)-b-i,,辽道宗清宁元年,1055,密檐塔,8角形,13,24.0,省级文物保护单位,寺院标志,水域周边,寺庙主塔,天宫寺,天宫寺塔为八角十三层密檐式砖塔，位于河北省唐山市丰润区天宫寺。塔身原有精美壁画。,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
西岗塔,observed_structured_record,河北省,保定市,涞水县,南京道,易州,涞水县,,,a-m-d[type=d1]-e[col=e1](e8)-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-b-f-k-k-d[type=d1]-g[num=3](g1-g9)-i,辽,辽代,辽代,密檐塔,8角形,13,18.0,,风水镇物,水域周边,单体,无,西岗塔为八角十三层密檐式砖塔，位于河北省涞水县西岗，属风水塔。,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
南安寺塔,observed_structured_record,河北省,张家口市,蔚县,南京道,蔚州,,,,a-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-b-h-c-m-d[type=d1]-e[col=e3](e8)(e11)-f-c-e[col=e1](e1-e8)-b-k-b-i,重熙,辽重熙年间,1060s,密檐塔,8角形,13,28.0,全国重点文物保护单位,供奉舍利,田园,寺庙主塔,南安寺,南安寺塔为八角十三层密檐式砖塔，位于河北省蔚县南安寺。塔下有地宫，出土有舍利。,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
兴文塔,observed_structured_record,河北省,保定市,涞源县,南京道,蔚州,飞狐县,,,a-m-d[type=d1]-e[col=e1](e8)(e11)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e8-e10)(e11)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e8)(e11)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e8)(e11)-o-d[type=d1]-c-m-d[type=d1]-e[col=e1](e8)(e11)-i,辽,辽代,1090s,楼阁式塔,8角形,5,22.0,全国重点文物保护单位,寺院标志,水域周边,单体,泰山宫,兴文塔为八角五层楼阁式砖塔，位于河北省涞源县泰山宫，属道教塔。,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
智度寺塔,observed_structured_record,河北省,保定市,涿州市,南京道,涿州,,,,a-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-h-d[type=d1]-g[num=5](e1-g12)-i,辽,辽代,1055-1100,密檐/楼阁混合,8角形,5,44.0,全国重点文物保护单位,供奉佛像,水域周边,双塔之一,智度寺,智度寺塔为八角五层密檐与楼阁混合式砖塔，位于河北省涿州市智度寺。首层高大，以上各层设平座。,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
云居寺塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,115.767278,39.608819,a-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-f-k-k-d[type=d1]-g[num=5](e1-g12)-i,天庆,辽天祚天庆年间,1090s,花塔,8角形,2,31.53,1961年被列为第一批全国重点文物保护单位,风水镇物,田园,双塔之一,云居寺(涿州),云居寺北塔（俗称红塔、罗汉塔）为八角二层覆钵式砖塔...上承覆钵。,False,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
伍侯塔,observed_structured_record,北京市,北京市,房山区,南京道,南京析津府,良乡县,,,a-m-d[type=d1]-h-f-c-m-d[type=d1]-h-f-c-m-d[type=d1]-h-f-c-m-d[type=d1]-h-f-c-m-d[type=d1]-e[col=e1](e11-e8-e11)(e11)-k-b-g[num=6](g5-g10)-b-k-b-k-b-h-i,辽,辽代,辽代,楼阁式塔,8角形,4,12.0,区级文物保护单位,风水镇物,一般旷野,,无,伍侯塔为八角四层楼阁式砖塔，位于北京市房山区良乡。,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
佛真猞猁迤逻尼塔,observed_structured_record,河北省,张家口市,宣化县,西京道,归化州,,,,a-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-b-h-c-m-d[type=d1]-e[col=e1](e11/e8)(e11)-i,辽,辽代,1110s,密檐塔,8角形,13,20.0,省级文物保护单位,高僧墓葬,水域周边,单体,柏林寺,佛真猞猁迤逻尼塔为八角十三层密檐式砖塔，位于河北省宣化县柏林寺。,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
双塔庵北塔,observed_structured_record,河北省,保定市,易县,南京道,易州,,,,a-h-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-m-d[type=d1]-e[col=e3](e8)(e8)-f-k-k-d[type=d1]-g[num=2](e1-g10)-i,辽,辽代,辽代,密檐塔,8角形,13,15.0,,寺院标志,水域周边,双塔并立,双塔庵(已毁),双塔庵北塔为八角十三层密檐式砖塔，位于河北省易县双塔庵遗址。,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
万部华严经塔,observed_structured_record,内蒙古自治区,呼和浩特市,赛罕区,西京道,丰州,,111.880125,40.836814,a-m-d[type=d1]-e[col=e1](e11/e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e11/e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e1](e11/e8)(e11)-d[type=d1]-h-c-m-d[type=d1]-e[col=e2](e18-e8-e18)(e18-e11-e8)-d[type=d1]-h-c-m-d[type=d1]-e[col=e2](e11/e18-e8-e18)(e18-e11-e18)-f-h-k-k-d[type=d1]-g[num=4](e1-g12)-b-g[num=4](e1-g12)-h-i,辽圣宗,辽圣宗时期,983-1031,楼阁式塔,8角形,7,52.98,1982年第二批全国重点文物保护单位,珍藏经卷,古城遗址,城址,大藏经塔,万部华严经塔...位于内蒙古呼和浩特市赛罕区太平庄乡白塔村丰州故城内西北角。,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True
辽释迦佛舍利塔,observed_structured_record,内蒙古自治区,赤峰市,巴林右旗,上京道,庆州,,118.513519,44.202239,a-m-d[type=d1]-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-e[col=e1](e18)(e8)(e18)(e15)(e18-e15-e18)(e15)-d[type=d1]-c-d[type=d1]-e[col=e1](e18)(e8)(e18)(e15)(e6/e15)(e6-e9-e6/e11)(e6/e15)-f-h-b-h-g[num=6](e1-g12)-b-h-i,,辽兴宗重熙十六年,1047,楼阁式塔,8角形,7,64.74,1988年第三批全国重点文物保护单位,皇家功德,古城遗址,奉陵邑,释迦佛舍利塔,辽释迦佛舍利塔（又称庆州白塔）...位于内蒙古赤峰市巴林右旗索博日嘎（白塔子）镇北约5公里，辽庆州古城遗址西北角。,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False
海城金塔,observed_structured_record,辽宁省,鞍山市,海城市,东京道,海州,,122.896794,40.725194,a-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-d[type=d1]-e[col=e1](e6-e6/e9-e9-e9/e10-e8-e10)-f-h-g[num=1](g7-g9)-h-g[num=2](e1-g8)-h-i,辽,辽代中晚期,1050s,密檐塔,8角形,13,26.98,2013年第七批全国重点文物保护单位,风水镇物,田园,单体,金塔寺(已毁),海城金塔为八角实心十三层密檐砖塔...1953年。,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True
崇寿寺塔,observed_structured_record,辽宁省,铁岭市,开原市,东京道,咸州,,,,a-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-b-c-d[type=d1]-e[col=e1](e14-e16-e14/e14-e8-e14)-f-h-g[num=3](e1-g12)-g[num=3](e1-g12)-b-i,辽,金代(辽风),1115后,密檐塔,8角形,13,45.8,州级(历史等级)/全国重点文物保护单位,寺院标志,一般旷野,寺庙主塔,崇寿寺,崇寿寺塔为八角实心十三层密檐砖塔，位于辽宁省铁岭市开原市（辽代咸州/黄龙府界）。塔身佛龛内嵌有铜镜，具有典型的金代初年承袭辽代风格的特征。,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False
